vacancy_name,company_name,min_salary,max_salary,salary_currency,vacancy_link
Backend WEB-developer,Стаффмикс,120 000,,₽,https://www.superjob.ru/vakansii/backend-web-developer-33403884.html
PHP developer / Web-разработчик,Boxberry,,,,https://www.superjob.ru/vakansii/php-developer-33432217.html
Разработчик / Программист / Developer Angular 7+/ionic,None,,,,https://www.superjob.ru/vakansii/razrabotchik-31734252.html
"Team Lead / Full Stack Developer (C#, Angular, ASP.NET)",«Группа ГУТА»,160 000 , 200 000 ,₽,https://www.superjob.ru/vakansii/team-lead-32491407.html
ABAP developer,LeverX International,,,,https://www.superjob.ru/vakansii/abap-developer-33415395.html
"Web-программист, web-разработчик (Fullstack)",СЕРВИСКОД,,,,https://www.superjob.ru/vakansii/web-programmist-33402005.html
Web-программист / Web-разработчик,Группа компаний Радиус,,,,https://www.superjob.ru/vakansii/web-programmist-32927108.html
Веб-программист,НФ Русское наследие,,,,https://www.superjob.ru/vakansii/veb-programmist-33400458.html
Web-программист,ФГБУ ЦЭККМП Минздрава России,,,,https://www.superjob.ru/vakansii/web-programmist-33146912.html
"Web-программист / Веб-разработчик Битрикс Bitrix (PHP, MySQL, JavaScript, jQuery)",МИЛАН,,220 000,₽,https://www.superjob.ru/vakansii/web-programmist-11174857.html
Web-программист full stack (front-end),Оптик Сити,,,,https://www.superjob.ru/vakansii/web-programmist-full-stack-33350880.html
Программист Linux / Web-разработчик,МЕДИКУМ,,,,https://www.superjob.ru/vakansii/programmist-linux-31086618.html
Программист (web-разработчик),Государственное учреждение сектора госуправления,,,,https://www.superjob.ru/vakansii/programmist-33338434.html
ABAP-разработчик,"Глобус, Сеть гипермаркетов",,,,https://www.superjob.ru/vakansii/abap-razrabotchik-33221988.html
"Full-Stack developer (Angular, C#, .NET)",«Группа ГУТА»,,190 000,₽,https://www.superjob.ru/vakansii/full-stack-developer-32491461.html
JavaScript (веб) программист,Стаффмикс,100 000 , 110 000 ,₽,https://www.superjob.ru/vakansii/javascript-33137720.html
